DATE,ERI_PREC,ERI_EVAP,ERI_RUNO
1919-06-01,57.2,,18.1
1919-07-01,41.7,,9.5
1919-08-01,93.7,,11.2
1919-09-01,53.6,,6.6
1919-10-01,100.8,,38.3
1919-11-01,48.8,,57.6
1919-12-01,31.5,,40.8
1920-01-01,46.7,,9.7
1920-02-01,30.2,,15.8
1920-03-01,43.4,,152.2
1920-04-01,105.2,,127.8
1920-05-01,30,,31.1
1920-06-01,118.1,,14.3
1920-07-01,80.8,,45.5
1920-08-01,77.2,,12.8
1920-09-01,44.2,,8.2
1920-10-01,72.6,,9.2
1920-11-01,79.2,,50.1
1920-12-01,69.9,,78.4
1921-01-01,33,,64.4
1921-02-01,47.5,,73.3
1921-03-01,110.7,,201.7
1921-04-01,96.5,,109.7
1921-05-01,58.2,,75.1
1921-06-01,63.5,,18.5
1921-07-01,69.9,,13.6
1921-08-01,89.7,,7.2
1921-09-01,84.6,,8.5
1921-10-01,66.5,,12.9
1921-11-01,94,,70.7
1921-12-01,50.3,,67.1
1922-01-01,38.6,,36.2
1922-02-01,37.1,,56.1
1922-03-01,101.3,,151
1922-04-01,66.5,,236.4
1922-05-01,63.8,,96.7
1922-06-01,66,,23.2
1922-07-01,74.2,,12.9
1922-08-01,78.5,,6
1922-09-01,63,,13.7
1922-10-01,41.9,,5.3
1922-11-01,40.9,,6.1
1922-12-01,62.7,,16.5
1923-01-01,66,,87.4
1923-02-01,36.1,,49.2
1923-03-01,67.6,,158.5
1923-04-01,59.4,,75.3
1923-05-01,73.7,,84.8
1923-06-01,63.5,,12
1923-07-01,65,,10.3
1923-08-01,45.7,,7.2
1923-09-01,77.2,,9.1
1923-10-01,47.8,,4.7
1923-11-01,59.7,,11
1923-12-01,114.6,,155
1924-01-01,84.1,,120.9
1924-02-01,48.3,,66.3
1924-03-01,51.3,,169.5
1924-04-01,71.1,,91
1924-05-01,68.6,,63.7
1924-06-01,115.8,,103
1924-07-01,67.6,,42.9
1924-08-01,56.1,,4.7
1924-09-01,135.4,,30.3
1924-10-01,10.7,,16.6
1924-11-01,23.6,,4.7
1924-12-01,87.4,,66.4
1925-01-01,34.8,,12.3
1925-02-01,62,,124.1
1925-03-01,72.4,,139.7
1925-04-01,34.3,,16.7
1925-05-01,37.3,,11.8
1925-06-01,53.8,,4.2
1925-07-01,102.4,,10.7
1925-08-01,53.1,,5.9
1925-09-01,105.9,,19
1925-10-01,83.1,,38.8
1925-11-01,87.1,,101.5
1925-12-01,37.8,,35.9
1926-01-01,54.6,,61.6
1926-02-01,71.9,,124.7
1926-03-01,55.6,,134.7
1926-04-01,96.5,,164.5
1926-05-01,30.7,,16.4
1926-06-01,80.5,,15.3
1926-07-01,42.9,,8
1926-08-01,146.8,,24.9
1926-09-01,178.3,,148.1
1926-10-01,126.5,,142.9
1926-11-01,74.4,,80.3
1926-12-01,49.8,,45.5
1927-01-01,44.2,,99.8
1927-02-01,54.9,,150.4
1927-03-01,60.5,,179.5
1927-04-01,55.1,,83.6
1927-05-01,95.5,,82.3
1927-06-01,54.9,,35.3
1927-07-01,103.1,,8.2
1927-08-01,41.1,,8.9
1927-09-01,54.6,,4.9
1927-10-01,51.6,,5.5
1927-11-01,166.1,,47.7
1927-12-01,90.4,,222.1
1928-01-01,44.2,,92.3
1928-02-01,49.8,,129.3
1928-03-01,52.3,,74
1928-04-01,53.3,,84
1928-05-01,45.2,,22.6
1928-06-01,131.8,,73.3
1928-07-01,99.1,,33.8
1928-08-01,63.8,,6.9
1928-09-01,44.2,,2.9
1928-10-01,75.2,,4.5
1928-11-01,70.1,,18.1
1928-12-01,44.2,,33
1929-01-01,107.2,,134.1
1929-02-01,36.8,,69.2
1929-03-01,71.6,,161
1929-04-01,148.3,,171.8
1929-05-01,96,,112.7
