DATE,MHG_PREC,MHG_EVAP,MHG_RUNO
1919-08-01,55.3,,26.1
1919-09-01,84.2,,28.7
1919-10-01,107.5,,53
1919-11-01,71.8,,79.8
1919-12-01,36.3,,62.5
1920-01-01,46.4,,36.5
1920-02-01,26.2,,29.8
1920-03-01,74.7,,144.9
1920-04-01,72.2,,147.5
1920-05-01,32.6,,78.6
1920-06-01,88.7,,49.3
1920-07-01,71.2,,47.9
1920-08-01,57.2,,27.5
1920-09-01,57.6,,21.5
1920-10-01,57.9,,26.7
1920-11-01,65.7,,42.6
1920-12-01,93.4,,59.9
1921-01-01,27,,61.8
1921-02-01,25.1,,35.1
1921-03-01,97.4,,124.4
1921-04-01,85.4,,130.7
1921-05-01,42.9,,81.8
1921-06-01,41.6,,45.3
1921-07-01,63.2,,26.2
1921-08-01,91.8,,23.3
1921-09-01,98.5,,23.3
1921-10-01,86.5,,28.7
1921-11-01,64.1,,31.6
1921-12-01,83.8,,56.8
1922-01-01,43.8,,40.8
1922-02-01,84.1,,36
1922-03-01,59.5,,112.8
1922-04-01,91.5,,216.1
1922-05-01,59.9,,116.2
1922-06-01,82.8,,56.8
1922-07-01,106.9,,47.5
1922-08-01,47.5,,30.4
1922-09-01,80.6,,29.7
1922-10-01,60.7,,26
1922-11-01,65.2,,30.2
1922-12-01,41.9,,31.7
1923-01-01,51.7,,31.9
1923-02-01,38.4,,28.6
1923-03-01,80.9,,69.9
1923-04-01,56.3,,150.8
1923-05-01,71.1,,132.7
1923-06-01,55.5,,60.2
1923-07-01,51.6,,36.9
1923-08-01,79.3,,24.4
1923-09-01,72.6,,27.8
1923-10-01,76.9,,25.8
1923-11-01,32.8,,27.7
1923-12-01,60.3,,38.8
1924-01-01,74.5,,40.1
1924-02-01,56,,34.7
1924-03-01,45.3,,68.4
1924-04-01,52.8,,136.3
1924-05-01,96.8,,129.9
1924-06-01,70.6,,51
1924-07-01,94.8,,40
1924-08-01,110.9,,63.5
1924-09-01,65.3,,32.1
1924-10-01,9.8,,31.1
1924-11-01,59.2,,29.6
1924-12-01,72.9,,38.7
1925-01-01,26.9,,31.1
1925-02-01,45.9,,49.7
1925-03-01,42.1,,83.2
1925-04-01,49.4,,80.8
1925-05-01,29.2,,42.9
1925-06-01,77.3,,43.7
1925-07-01,70.5,,35.9
1925-08-01,33.3,,25
1925-09-01,77.3,,23.1
1925-10-01,76.8,,33.6
1925-11-01,49.3,,60.7
1925-12-01,54.1,,46.6
1926-01-01,39,,42.9
1926-02-01,52.9,,35.1
1926-03-01,70.3,,54
1926-04-01,47.8,,131.1
1926-05-01,64.4,,106.4
1926-06-01,98.5,,66.6
1926-07-01,58.9,,45
1926-08-01,78.2,,39
1926-09-01,95.2,,40.2
1926-10-01,80.3,,52.8
1926-11-01,116.3,,93.6
1926-12-01,50.7,,58.6
1927-01-01,38.2,,46.3
1927-02-01,30.5,,43.3
1927-03-01,52.4,,125.5
1927-04-01,59.1,,96.5
1927-05-01,112.4,,98.3
1927-06-01,51.6,,64.1
1927-07-01,81.7,,46.3
1927-08-01,23.3,,30.1
1927-09-01,112.1,,25.3
1927-10-01,66.6,,39.9
1927-11-01,102.2,,46.8
1927-12-01,78.1,,58.9
1928-01-01,48.4,,49.3
1928-02-01,56.3,,47.9
1928-03-01,59.7,,101.5
1928-04-01,76.2,,205.8
1928-05-01,48.1,,149.8
