DATE,ONT_PREC,ONT_EVAP,ONT_RUNO
1917-01-01,74.2,,62.2
1917-02-01,45.7,,50.9
1917-03-01,58.7,,296.6
1917-04-01,127.5,,350
1917-05-01,124.2,,137.6
1917-06-01,130.6,,161.5
1917-07-01,67.1,,83.7
1917-08-01,63,,39.4
1917-09-01,35.3,,40.1
1917-10-01,149.1,,134
1917-11-01,32.5,,111.2
1917-12-01,58.4,,63.3
1918-01-01,70.1,,33.2
1918-02-01,84.3,,152.6
1918-03-01,41.7,,370.2
1918-04-01,50.3,,362.5
1918-05-01,70.6,,151.1
1918-06-01,75.7,,89.4
1918-07-01,59.2,,49.4
1918-08-01,63,,32.2
1918-09-01,115.8,,53.6
1918-10-01,84.8,,169.4
1918-11-01,43.7,,228.3
1918-12-01,69.6,,253.6
1919-01-01,41.1,,174.4
1919-02-01,35.6,,77.8
1919-03-01,81.3,,350.5
1919-04-01,82.8,,425.8
1919-05-01,152.1,,368.1
1919-06-01,71.1,,158.4
1919-07-01,57.4,,64.2
1919-08-01,73.9,,36.1
1919-09-01,51.8,,44.1
1919-10-01,99.3,,74.6
1919-11-01,48.3,,112.8
1919-12-01,40.6,,106.9
1920-01-01,48,,35.6
1920-02-01,47.2,,33.6
1920-03-01,51.6,,363.3
1920-04-01,72.4,,255
1920-05-01,12.7,,128.4
1920-06-01,63.5,,45.7
1920-07-01,66,,77.3
1920-08-01,49.5,,49
1920-09-01,67.6,,43.2
1920-10-01,64,,59.1
1920-11-01,93.7,,111.5
1920-12-01,85.1,,265.1
1921-01-01,20.6,,132.8
1921-02-01,44.2,,96.4
1921-03-01,90.7,,500.7
1921-04-01,80.8,,245.3
1921-05-01,48.8,,106.1
1921-06-01,42.4,,53.7
1921-07-01,67.1,,59.6
1921-08-01,53.8,,39.4
1921-09-01,43.7,,34.4
1921-10-01,90.9,,59.1
1921-11-01,76.2,,161.2
1921-12-01,56.9,,135.2
1922-01-01,39.9,,74.2
1922-02-01,63.2,,111.7
1922-03-01,70.1,,335.2
1922-04-01,88.4,,512.1
1922-05-01,50.8,,145.4
1922-06-01,125.7,,166.5
1922-07-01,68.3,,118.8
1922-08-01,63,,68.5
1922-09-01,55.9,,45.2
1922-10-01,59.4,,44.7
1922-11-01,39.6,,49.7
1922-12-01,40.9,,49.2
1923-01-01,77.7,,77.6
1923-02-01,32.8,,52.5
1923-03-01,55.6,,236.8
1923-04-01,43.9,,403.6
1923-05-01,79,,214.8
1923-06-01,68.3,,111.2
1923-07-01,29,,47.3
1923-08-01,54.4,,33.4
1923-09-01,62.7,,37.9
1923-10-01,61.2,,46.9
1923-11-01,88.1,,65.2
1923-12-01,74.9,,169.6
1924-01-01,86.4,,216
1924-02-01,68.8,,85.9
1924-03-01,21.6,,206.4
1924-04-01,75.9,,474.9
1924-05-01,99.8,,344.3
1924-06-01,61.5,,96.9
1924-07-01,89.4,,58.6
1924-08-01,78,,62
1924-09-01,133.6,,64.6
1924-10-01,10.2,,144.9
1924-11-01,33.5,,79.4
1924-12-01,60.7,,116.9
1925-01-01,57.4,,53.3
1925-02-01,79.2,,302.5
1925-03-01,68.1,,393.3
1925-04-01,41.1,,298.8
1925-05-01,40.1,,152.4
1925-06-01,70.1,,77.6
1925-07-01,89.7,,72.5
1925-08-01,61.7,,64.5
1925-09-01,132.1,,78.6
1925-10-01,85.1,,152.7
1925-11-01,77.2,,240.3
1925-12-01,51.3,,189.9
1926-01-01,49.8,,119
1926-02-01,64.3,,82.1
1926-03-01,53.1,,190.3
1926-04-01,74.4,,571.7
1926-05-01,30.7,,298.8
1926-06-01,68.3,,118.1
1926-07-01,69.3,,65.6
1926-08-01,120.9,,64.5
1926-09-01,120.1,,71.1
1926-10-01,109.2,,151.9
1926-11-01,96.5,,317.5
1926-12-01,51.8,,158.8
1927-01-01,34.5,,134.3
1927-02-01,63.5,,144.6
1927-03-01,41.4,,413.1
1927-04-01,33.3,,207.4
1927-05-01,89.4,,238.2
1927-06-01,48.3,,98
1927-07-01,109.2,,73.8
1927-08-01,51.1,,54.8
1927-09-01,36.1,,53.7
1927-10-01,90.9,,114.1
1927-11-01,161.5,,343.6
1927-12-01,89.2,,458.9
1928-01-01,61,,274.4
1928-02-01,58.4,,173.8
1928-03-01,64,,313.7
1928-04-01,71.1,,494.8
1928-05-01,37.8,,219.7
1928-06-01,108,,158.9
1928-07-01,99.1,,100.3
1928-08-01,78,,101.7
1928-09-01,55.9,,75.7
1928-10-01,80.5,,133.6
1928-11-01,88.9,,166.9
1928-12-01,38.6,,213.3
1929-01-01,104.4,,255.3
1929-02-01,38.6,,101.9
1929-03-01,80.3,,441.3
1929-04-01,123.7,,449.6
1929-05-01,81,,362.6
1929-06-01,48.3,,101.2
1929-07-01,75.2,,87.9
1929-08-01,44.2,,76.2
1929-09-01,50.3,,62.3
1929-10-01,70.6,,110
1929-11-01,79.8,,131.4
1929-12-01,80.8,,148.8
1930-01-01,97,,412.2
1930-02-01,48.3,,201
1930-03-01,92.2,,352.1
1930-04-01,41.1,,383.5
1930-05-01,67.3,,182.7
1930-06-01,76.2,,117
1930-07-01,63.5,,78.6
1930-08-01,31,,52.8
1930-09-01,48.5,,49.7
1930-10-01,41.7,,52.3
1930-11-01,33.5,,47.4
1930-12-01,34,,60.1
1931-01-01,63.3,,46.7
1931-02-01,36.3,,50.7
1931-03-01,69.5,,153.8
1931-04-01,58.5,,315.4
1931-05-01,103.7,,227
1931-06-01,62.7,,95.8
1931-07-01,69.9,,75
1931-08-01,41.7,,51.7
1931-09-01,91,,67.2
1931-10-01,57.3,,75.2
1931-11-01,56.1,,128.3
1931-12-01,66.9,,178.4
1932-01-01,121.4,,312.2
1932-02-01,64.9,,221.2
1932-03-01,81.5,,157.6
1932-04-01,73,,542.1
